Questions,Answers
"Who said, ""The world as we have created it is a process of our thinking""?",Albert Einstein
"According to J.K. Rowling, what reveals what we truly are?",Choices
How does Albert Einstein suggest one can live their life?,Two ways: as though nothing is a miracle or as though everything is a miracle
What does Marilyn Monroe consider beauty and genius?,"Imperfection, madness, and being absolutely ridiculous"
"According to Albert Einstein, what should one aim to become rather than a man of success?",Man of value
"According to André Gide, is it better to be loved for what you are not or hated for what you are?",Hated for what you are
How does Thomas A. Edison perceive failure in his quote?,"Not failed, found 10,000 ways that won't work"
What metaphor does Eleanor Roosevelt use to describe a woman's strength?,Like a tea bag in hot water
How does Steve Martin humorously describe a day without sunshine?,"Like, you know, night"
"According to Marilyn Monroe, what should one believe in to keep smiling?","Life's a beautiful thing, believe in yourself"
What universal truth does Marilyn Monroe mention in her quote about life?,Messing up is a universal truth
"According to J.K. Rowling, what does it take to stand up to enemies and friends alike?",Bravery
How does Albert Einstein define understanding something?,"If you can't explain it to a six-year-old, you don't understand it yourself"
"According to Bob Marley, what should one do if they fail at something?","Keep trying, hold on, and always believe in yourself"
"According to Albert Einstein, what is the role of imagination in contrast to logic?",Imagination will get you everywhere
"According to Bob Marley, what do you feel no pain from when it hits you?",Pain when music hits you
How does Dr. Seuss view the impact of reading on an individual's life?,Living a thousand lives
"According to J.K. Rowling, what is the next great adventure for a well-organized mind?",Death is the next great adventure
"According to Elie Wiesel, what is the opposite of love, art, faith, and life?",Indifference
"What, according to Friedrich Nietzsche, makes unhappy marriages?",Lack of friendship
"What, according to Mark Twain, constitutes an ideal life?","Good friends, good books, and a sleepy conscience"
"According to Allen Saunders, what happens while we are making other plans?",Life happens while making other plans
How does Pablo Neruda describe his love in his quote?,Love without problems or pride
"According to Ralph Waldo Emerson, what do you lose for every minute you are angry?",Sixty seconds of happiness
"According to Mother Teresa, what is the consequence of judging people?",No time to love them
What humorous comparison does Garrison Keillor make in his quote about church?,Sitting in church doesn't make you a Christian
How does Jim Henson view beauty in the eyes of the beholder?,Beauty is in the eye of the beholder
"According to Dr. Seuss, what is truer than true for an individual?","Today you are You, that is truer than true"
What does Albert Einstein recommend for the intelligence of children in his quote about fairy tales?,Read them fairy tales
"What, according to J.K. Rowling, is impossible in life?",Too late to be what you might have been
How does Douglas Adams view life's journey in his quote?,Ended up where needed to be
